Mesh250m,PeriodKey,mesh_transaction_count,mesh_median_ppsqm,mesh_mean_ppsqm,mesh_price_std,mesh_price_iqr,mesh_avg_age,mesh_avg_area,MeshLat,MeshLon,PeriodNum
53394631,2018-Q1,1,550000.0,550000.0,,0.0,5.0,60.0,35.69,139.77,8072
53394631,2018-Q2,1,558500.0,558500.0,,0.0,6.0,65.0,35.69,139.77,8073
53394631,2018-Q3,1,567000.0,567000.0,,0.0,7.0,70.0,35.69,139.77,8074
53394631,2018-Q4,1,575500.0,575500.0,,0.0,8.0,60.0,35.69,139.77,8075
53394631,2019-Q1,1,584000.0,584000.0,,0.0,9.0,65.0,35.69,139.77,8076
53394631,2019-Q2,1,592500.0,592500.0,,0.0,10.0,70.0,35.69,139.77,8077
53394631,2019-Q3,1,601000.0,601000.0,,0.0,11.0,60.0,35.69,139.77,8078
53394631,2019-Q4,1,609500.0,609500.0,,0.0,12.0,65.0,35.69,139.77,8079
53394631,2020-Q1,1,618000.0,618000.0,,0.0,13.0,70.0,35.69,139.77,8080
53394631,2020-Q2,1,626500.0,626500.0,,0.0,14.0,60.0,35.69,139.77,8081
53394631,2020-Q3,1,635000.0,635000.0,,0.0,15.0,65.0,35.69,139.77,8082
53394631,2020-Q4,1,643500.0,643500.0,,0.0,16.0,70.0,35.69,139.77,8083
53394631,2021-Q1,1,652000.0,652000.0,,0.0,17.0,60.0,35.69,139.77,8084
53394631,2021-Q2,1,660500.0,660500.0,,0.0,18.0,65.0,35.69,139.77,8085
53394631,2021-Q3,1,669000.0,669000.0,,0.0,19.0,70.0,35.69,139.77,8086
53394631,2021-Q4,1,677500.0,677500.0,,0.0,20.0,60.0,35.69,139.77,8087
53394631,2022-Q1,1,686000.0,686000.0,,0.0,21.0,65.0,35.69,139.77,8088
53394632,2018-Q1,1,540000.0,540000.0,,0.0,5.0,60.0,35.7,139.74,8072
53394632,2018-Q2,1,547500.0,547500.0,,0.0,6.0,65.0,35.7,139.74,8073
53394632,2018-Q3,1,555000.0,555000.0,,0.0,7.0,70.0,35.7,139.74,8074
53394632,2018-Q4,1,562500.0,562500.0,,0.0,8.0,60.0,35.7,139.74,8075
53394632,2019-Q1,1,570000.0,570000.0,,0.0,9.0,65.0,35.7,139.74,8076
53394632,2019-Q2,1,577500.0,577500.0,,0.0,10.0,70.0,35.7,139.74,8077
53394632,2019-Q3,1,585000.0,585000.0,,0.0,11.0,60.0,35.7,139.74,8078
53394632,2019-Q4,1,592500.0,592500.0,,0.0,12.0,65.0,35.7,139.74,8079
53394632,2020-Q1,1,600000.0,600000.0,,0.0,13.0,70.0,35.7,139.74,8080
53394632,2020-Q2,1,607500.0,607500.0,,0.0,14.0,60.0,35.7,139.74,8081
53394632,2020-Q3,1,615000.0,615000.0,,0.0,15.0,65.0,35.7,139.74,8082
53394632,2020-Q4,1,622500.0,622500.0,,0.0,16.0,70.0,35.7,139.74,8083
53394632,2021-Q1,1,630000.0,630000.0,,0.0,17.0,60.0,35.7,139.74,8084
53394632,2021-Q2,1,637500.0,637500.0,,0.0,18.0,65.0,35.7,139.74,8085
53394632,2021-Q3,1,645000.0,645000.0,,0.0,19.0,70.0,35.7,139.74,8086
53394632,2021-Q4,1,652500.0,652500.0,,0.0,20.0,60.0,35.7,139.74,8087
53394632,2022-Q1,1,660000.0,660000.0,,0.0,21.0,65.0,35.7,139.74,8088
58405001,2018-Q1,1,320000.0,320000.0,,0.0,5.0,60.0,38.27,140.87,8072
58405001,2018-Q2,1,326000.0,326000.0,,0.0,6.0,65.0,38.27,140.87,8073
58405001,2018-Q3,1,332000.0,332000.0,,0.0,7.0,70.0,38.27,140.87,8074
58405001,2018-Q4,1,338000.0,338000.0,,0.0,8.0,60.0,38.27,140.87,8075
58405001,2019-Q1,1,344000.0,344000.0,,0.0,9.0,65.0,38.27,140.87,8076
58405001,2019-Q2,1,350000.0,350000.0,,0.0,10.0,70.0,38.27,140.87,8077
58405001,2019-Q3,1,356000.0,356000.0,,0.0,11.0,60.0,38.27,140.87,8078
58405001,2019-Q4,1,362000.0,362000.0,,0.0,12.0,65.0,38.27,140.87,8079
58405001,2020-Q1,1,368000.0,368000.0,,0.0,13.0,70.0,38.27,140.87,8080
58405001,2020-Q2,1,374000.0,374000.0,,0.0,14.0,60.0,38.27,140.87,8081
58405001,2020-Q3,1,380000.0,380000.0,,0.0,15.0,65.0,38.27,140.87,8082
58405001,2020-Q4,1,386000.0,386000.0,,0.0,16.0,70.0,38.27,140.87,8083
58405001,2021-Q1,1,392000.0,392000.0,,0.0,17.0,60.0,38.27,140.87,8084
58405001,2021-Q2,1,398000.0,398000.0,,0.0,18.0,65.0,38.27,140.87,8085
58405001,2021-Q3,1,404000.0,404000.0,,0.0,19.0,70.0,38.27,140.87,8086
58405001,2021-Q4,1,410000.0,410000.0,,0.0,20.0,60.0,38.27,140.87,8087
58405001,2022-Q1,1,416000.0,416000.0,,0.0,21.0,65.0,38.27,140.87,8088
58405002,2018-Q1,1,310000.0,310000.0,,0.0,5.0,60.0,38.29,140.85,8072
58405002,2018-Q2,1,315500.0,315500.0,,0.0,6.0,65.0,38.29,140.85,8073
58405002,2018-Q3,1,321000.0,321000.0,,0.0,7.0,70.0,38.29,140.85,8074
58405002,2018-Q4,1,326500.0,326500.0,,0.0,8.0,60.0,38.29,140.85,8075
58405002,2019-Q1,1,332000.0,332000.0,,0.0,9.0,65.0,38.29,140.85,8076
58405002,2019-Q2,1,337500.0,337500.0,,0.0,10.0,70.0,38.29,140.85,8077
58405002,2019-Q3,1,343000.0,343000.0,,0.0,11.0,60.0,38.29,140.85,8078
58405002,2019-Q4,1,348500.0,348500.0,,0.0,12.0,65.0,38.29,140.85,8079
58405002,2020-Q1,1,354000.0,354000.0,,0.0,13.0,70.0,38.29,140.85,8080
58405002,2020-Q2,1,359500.0,359500.0,,0.0,14.0,60.0,38.29,140.85,8081
58405002,2020-Q3,1,365000.0,365000.0,,0.0,15.0,65.0,38.29,140.85,8082
58405002,2020-Q4,1,370500.0,370500.0,,0.0,16.0,70.0,38.29,140.85,8083
58405002,2021-Q1,1,376000.0,376000.0,,0.0,17.0,60.0,38.29,140.85,8084
58405002,2021-Q2,1,381500.0,381500.0,,0.0,18.0,65.0,38.29,140.85,8085
58405002,2021-Q3,1,387000.0,387000.0,,0.0,19.0,70.0,38.29,140.85,8086
58405002,2021-Q4,1,392500.0,392500.0,,0.0,20.0,60.0,38.29,140.85,8087
58405002,2022-Q1,1,398000.0,398000.0,,0.0,21.0,65.0,38.29,140.85,8088
